vulc,perc_nat_rubber,wiring_strength,weather,perc_imp,temperature,tread_type,tyre_season,elevation,month,tread_depth,tyre_quality,perc_exp_comp,diameter,add_layers,failure
17.99,26,1,0.16,0.01,-8.12,0,1,332.5,8,0,1,5.13,55,1,0
20.704,36,1,0.3,0.01,-4.52,2,0,328,11,1,0,6.15,NA,1,0
19.156,34,1,0.3,0.01,-1.08,0,0,247,0,1,0,6.36,NA,1,0
16.802,35,1,0.19,0.02,7.44,1,0,408,7,3,1,6.62,54.5,1,0
17.14,23,2,0.39,0.01,30.52,0,1,308,2,2,0,6.15,76.3,1,0
20.042,38,0,0.04,0.01,-0.2,2,1,160.5,0,0,0,5.96,NA,1,0
21.172,33,1,0.39,0.01,-2.28,0,0,470,3,0,0,6.47,NA,1,0
16.706,32,0,0.62,0.05,-3.96,3,1,148.5,7,2,0,5.39,NA,1,0
17.616,25,1,0.16,0.01,-6.88,0,1,103.5,8,0,1,5.32,63.6,1,0
17.37,34,0,0.27,0.01,-1.28,2,0,345.5,5,2,0,6.31,NA,0,0
18.792,36,1,0.39,0.01,-3.2,2,0,296.5,1,2,0,5.82,NA,1,1
20.708,32,1,0.16,0.01,-13.6,1,0,699,0,1,1,4.8,NA,0,0
17.722,24,1,0.16,0.01,-7.16,0,1,290.5,8,0,1,5.56,NA,1,0
18.222,36,0,0.3,0.01,0.08,4,0,296,4,2,0,6.15,NA,1,0
18.762,30,0,0.39,0.01,-4.08,1,0,218,4,1,1,5.5,NA,1,1
17.922,37,0,0.3,0.01,1.72,4,0,213.5,4,2,0,6.06,79.3,2,0
18.484,29,1,0.22,0,-3.2,3,1,264,10,2,0,5.57,47.3,1,0
17.124,28,1,0.37,0.02,10,2,1,464.5,1,2,0,6.86,72.3,1,1
19.032,29,1,0.16,0.01,-6.28,1,1,510.5,9,1,1,5.49,60,0,1
19.008,39,1,0.39,0.01,9.36,4,1,572.5,10,1,0,6.04,84.2,1,1
20.25,31,1,0.39,0.01,-2.04,0,0,156,0,0,0,6.09,NA,1,0
18.114,34,0,0.21,0,-3.8,4,1,247,7,2,0,5.85,60.4,1,0
18.48,41,0,0.21,0,-2.56,3,1,458,6,0,0,5.28,NA,1,0
17.444,40,0,0.39,0.01,-0.44,0,0,243.5,2,3,0,5.58,NA,0,1
20.058,33,1,0.39,0.01,11.28,1,0,193.5,5,0,0,6.59,88.9,1,0
17.524,42,0,0.14,0,-0.32,0,0,279,4,2,0,5.97,NA,0,1
18.04,40,0,0.27,0.01,-2.2,1,0,432,1,2,0,5.8,66.7,1,0
17.824,33,1,0.3,0.01,7.88,4,0,487,0,0,0,6.45,70.3,1,1
17.062,36,0,0.3,0.01,-2.6,4,0,299,10,1,0,6.04,NA,1,1
17.846,26,1,0.16,0.01,-8.36,0,1,322.5,8,0,1,5.62,NA,1,0
16.41,34,1,0.11,0,0.92,3,1,251,11,2,0,6.08,NA,1,0
17.598,23,1,0.22,0,-1.96,1,1,421,9,1,0,5.68,82.9,1,1
18.986,27,1,0.29,0.01,-6.08,0,1,870.5,10,0,0,5.92,NA,1,0
